sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230829NY029095401A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230108NY059026450A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230907NY071031518A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230412NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230620NY029022136A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230516NY105030074A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230711NY059026841A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230427NY035026042A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230430NY103104809A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230503NY055028339A	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
