sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230620NY029022543A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230905NY029026395C	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20221101NY011021903A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20231017NY045025151A	no_metadata	suny_upstate	NA	NA	NA	NA	NA	no_metadata
20230928NY069025968A	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20221101NY121021504A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230919NY063027774A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230928NY071026328A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20231024NY029028410A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230928NY089029831A	no_metadata	suny_upstate	NA	NA	NA	NA	NA	no_metadata
20231005NY065022110A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20231115NY027026271A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20231017NY043036528A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230705NY119026697A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230830NY071027901A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20231024NY029026395C	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230703NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230705NY119026701A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20231114NY069025968A	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20220915NY025029271A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221101NY023027561A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230928NY007024414B	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20220914NY049020125A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20231205NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230911NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
