"sample_collect_date","date_received","test_result_date","date_reported","sample_id","sw_id","site_id","pcr_lab","sars_pos","ct","sars2_copies_ml","hum_frac_mic_copies_ml","rec_eff_percent","sample_temp_f","sample_type","flow_rate","flow_rate_flag","quadrant_sample_id","withheld"
"2020-09-09","","2020-09-10","2022-02-18","20200909NY029022136A","36029NY0022136E025","NY029022136A","suny_buffalo",3,NA,2.5,NA,NA,NA,"",3.3,"imputed","","Reported"
"2020-09-09","","2020-09-10","2022-02-18","20200909NY029095401A","36029NY0095401E024","NY029095401A","suny_buffalo",3,NA,0.62,NA,NA,NA,"",19.3,"imputed","","Reported"
"2020-09-09","","2020-09-10","2022-02-18","20200909NY029026395B","36029NY0026395E022","NY029026395B","suny_buffalo",3,NA,15.16878059,NA,NA,NA,"",13.87,"imputed","","Reported"
"2020-09-09","","2020-09-10","2022-02-18","20200909NY029026395C","36029NY0026395E021","NY029026395C","suny_buffalo",3,NA,1.072123409,NA,NA,NA,"",2.81,"imputed","","Reported"
"2020-09-11","","2020-09-12","2022-02-18","20200911NY029025950B","36029NY0025950E020","NY029025950B","suny_buffalo",3,NA,0.0121,NA,NA,NA,"",NA,"","","Reported"
"2020-09-11","","2020-09-12","2022-02-18","20200911NY029028410A","36029NY0028410BU11","NY029028410A","suny_buffalo",3,NA,0.01211071731,NA,NA,NA,"",134,"imputed","","Reported"
"2020-09-11","","2020-09-12","2022-02-18","20200911NY029022543A","36029NY0022543E026","NY029022543A","suny_buffalo",3,NA,0.01211071731,NA,NA,NA,"",5.9,"imputed","","Reported"
"2020-09-11","","2020-09-12","2022-02-18","20200911NY029022136A","36029NY0022136E025","NY029022136A","suny_buffalo",3,NA,7.04,NA,NA,NA,"",3.3,"imputed","","Reported"
"2020-09-11","","2020-09-12","2022-02-18","20200911NY029095401A","36029NY0095401E024","NY029095401A","suny_buffalo",3,NA,0.01211071731,NA,NA,NA,"",19.3,"imputed","","Reported"
"2020-09-11","","2020-09-12","2022-02-18","20200911NY029026395B","36029NY0026395E022","NY029026395B","suny_buffalo",3,NA,0.01211071731,NA,NA,NA,"",13.87,"imputed","","Reported"
"2020-09-11","","2020-09-12","2022-02-18","20200911NY029026395C","36029NY0026395E021","NY029026395C","suny_buffalo",3,NA,0.01211071731,NA,NA,NA,"",2.81,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY081026158A","36081NY0026158NYCWWE","NY081026158A","NYC",NA,NA,1.278,NA,NA,NA,"",95,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY047026182A","36047NY0026182NYCWWK","NY047026182A","NYC",NA,NA,16.954,NA,NA,NA,"",78.6,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY005026191A","36005NY0026191NYCWWC","NY005026191A","NYC",NA,NA,NA,NA,NA,NA,"",125.4,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY081026115A","36081NY0026115NYCWWF","NY081026115A","NYC",NA,NA,NA,NA,NA,NA,"",75.9,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY047026204A","36047NY0026204NYCWWG","NY047026204A","NYC",NA,NA,NA,NA,NA,NA,"",189.2,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY061026247A","36061NY0026247NYCWWA","NY061026247A","NYC",NA,NA,NA,NA,NA,NA,"",102,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY085026174A","36085NY0026174NYCWWM","NY085026174A","NYC",NA,NA,NA,NA,NA,NA,"",27.9,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY047026166A","36047NY0026166NYCWWI","NY047026166A","NYC",NA,NA,NA,NA,NA,NA,"",88.8,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY085026107A","36085NY0026107NYCWWN","NY085026107A","NYC",NA,NA,NA,NA,NA,NA,"",26.9,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY047027073A","36047NY0027073NYCWWH","NY047027073A","NYC",NA,NA,NA,NA,NA,NA,"",26.2,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY081026221A","36081NY0026221NYCWWL","NY081026221A","NYC",NA,NA,NA,NA,NA,NA,"",19.5,"imputed","","Reported"
"2020-09-13","","2020-09-14","2022-08-31","20200913NY061026131A","36061NY0026131NYCWWB","NY061026131A","NYC",NA,NA,NA,NA,NA,NA,"",198.7,"imputed","","Reported"
"2020-09-15","","2020-09-16","2022-08-31","20200915NY047026212A","36047NY0026212NYCWWJ","NY047026212A","NYC",NA,NA,NA,NA,NA,NA,"",48.4,"imputed","","Reported"
"2020-09-15","","2020-09-16","2022-08-31","20200915NY081026158A","36081NY0026158NYCWWE","NY081026158A","NYC",NA,NA,NA,NA,NA,NA,"",95,"imputed","","Reported"
"2020-09-15","","2020-09-16","2022-08-31","20200915NY047026182A","36047NY0026182NYCWWK","NY047026182A","NYC",NA,NA,1.37,NA,NA,NA,"",78.6,"imputed","","Reported"
"2020-09-15","","2020-09-16","2022-08-31","20200915NY005026191A","36005NY0026191NYCWWC","NY005026191A","NYC",NA,NA,1.05,NA,NA,NA,"",125.4,"imputed","","Reported"
"2020-09-15","","2020-09-16","2022-08-31","20200915NY081026115A","36081NY0026115NYCWWF","NY081026115A","NYC",NA,NA,NA,NA,NA,NA,"",75.9,"imputed","","Reported"
"2020-09-15","","2020-09-16","2022-08-31","20200915NY047026204A","36047NY0026204NYCWWG","NY047026204A","NYC",NA,NA,NA,NA,NA,NA,"",189.2,"imputed","","Reported"
"2020-09-15","","2020-09-16","2022-08-31","20200915NY061026247A","36061NY0026247NYCWWA","NY061026247A","NYC",NA,NA,NA,NA,NA,NA,"",102,"imputed","","Reported"
