"sample_collect_date","date_received","test_result_date","date_reported","sample_id","sw_id","site_id","pcr_lab","sars_pos","ct","sars2_copies_ml","hum_frac_mic_copies_ml","rec_eff_percent","sample_temp_f","sample_type","flow_rate","flow_rate_flag","quadrant_sample_id","withheld"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY081026158A","36081NY0026158NYCWWE","NY081026158A","NYC",NA,NA,NA,NA,NA,NA,"",95,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY047026182A","36047NY0026182NYCWWK","NY047026182A","NYC",NA,NA,NA,NA,NA,NA,"",78.6,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY081026115A","36081NY0026115NYCWWF","NY081026115A","NYC",NA,NA,NA,NA,NA,NA,"",75.9,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY047026204A","36047NY0026204NYCWWG","NY047026204A","NYC",NA,NA,NA,NA,NA,NA,"",189.2,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY061026247A","36061NY0026247NYCWWA","NY061026247A","NYC",NA,NA,NA,NA,NA,NA,"",102,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY085026174A","36085NY0026174NYCWWM","NY085026174A","NYC",NA,NA,NA,NA,NA,NA,"",27.9,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY047026166A","36047NY0026166NYCWWI","NY047026166A","NYC",NA,NA,NA,NA,NA,NA,"",88.8,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY085026107A","36085NY0026107NYCWWN","NY085026107A","NYC",NA,NA,NA,NA,NA,NA,"",26.9,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY047027073A","36047NY0027073NYCWWH","NY047027073A","NYC",NA,NA,NA,NA,NA,NA,"",26.2,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY081026221A","36081NY0026221NYCWWL","NY081026221A","NYC",NA,NA,NA,NA,NA,NA,"",19.5,"imputed","","Reported"
"2020-09-06","","2020-09-07","2022-08-31","20200906NY081026239A","36081NY0026239NYCWWD","NY081026239A","NYC",NA,NA,NA,NA,NA,NA,"",58.9,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY047026212A","36047NY0026212NYCWWJ","NY047026212A","NYC",NA,NA,NA,NA,NA,NA,"",48.4,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY081026158A","36081NY0026158NYCWWE","NY081026158A","NYC",NA,NA,NA,NA,NA,NA,"",95,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY047026182A","36047NY0026182NYCWWK","NY047026182A","NYC",NA,NA,43.278,NA,NA,NA,"",78.6,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY005026191A","36005NY0026191NYCWWC","NY005026191A","NYC",NA,NA,1.582,NA,NA,NA,"",125.4,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY081026115A","36081NY0026115NYCWWF","NY081026115A","NYC",NA,NA,1.224,NA,NA,NA,"",75.9,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY047026204A","36047NY0026204NYCWWG","NY047026204A","NYC",NA,NA,NA,NA,NA,NA,"",189.2,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY061026247A","36061NY0026247NYCWWA","NY061026247A","NYC",NA,NA,NA,NA,NA,NA,"",102,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY085026174A","36085NY0026174NYCWWM","NY085026174A","NYC",NA,NA,NA,NA,NA,NA,"",27.9,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY047026166A","36047NY0026166NYCWWI","NY047026166A","NYC",NA,NA,NA,NA,NA,NA,"",88.8,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY085026107A","36085NY0026107NYCWWN","NY085026107A","NYC",NA,NA,1.059,NA,NA,NA,"",26.9,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY047027073A","36047NY0027073NYCWWH","NY047027073A","NYC",NA,NA,NA,NA,NA,NA,"",26.2,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY081026221A","36081NY0026221NYCWWL","NY081026221A","NYC",NA,NA,NA,NA,NA,NA,"",19.5,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY081026239A","36081NY0026239NYCWWD","NY081026239A","NYC",NA,NA,NA,NA,NA,NA,"",58.9,"imputed","","Reported"
"2020-09-08","","2020-09-09","2022-08-31","20200908NY061026131A","36061NY0026131NYCWWB","NY061026131A","NYC",NA,NA,1.065,NA,NA,NA,"",198.7,"imputed","","Reported"
"2020-09-09","","2020-09-10","2022-02-18","20200909NY029025950B","36029NY0025950E020","NY029025950B","suny_buffalo",3,NA,12.5,NA,NA,NA,"",NA,"","","Reported"
"2020-09-09","","2020-09-10","2022-02-18","20200909NY029022543A","36029NY0022543E026","NY029022543A","suny_buffalo",3,NA,48.7,NA,NA,NA,"",5.9,"imputed","","Reported"
