sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230123NY009027162A	no_metadata	suny_buffalo	NA	NA	NA	NA	no_metadata
20230406NY065025780C	no_file	NA	NA	NA	NA	NA	no_file
20230228NY119026786A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY087026051A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY039020389A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY075029106A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY053021539A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY109026638A	no_file	NA	NA	NA	NA	NA	no_file
20230221NY051030635A	no_file	NA	NA	NA	NA	NA	no_file
20230103NY029022136A	no_file	NA	NA	NA	NA	NA	no_file
20230326NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230306NY033029939A	no_file	NA	NA	NA	NA	NA	no_file
20230324NY079031356A	no_file	NA	NA	NA	NA	NA	no_file
20230320NY059026859A	no_file	NA	NA	NA	NA	NA	no_file
20230322NY059026450A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY063026336A	no_file	NA	NA	NA	NA	NA	no_file
20230412NY045025151A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY111029351A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY121021504A	no_file	NA	NA	NA	NA	NA	no_file
20230404NY029028410A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY037030546A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY089020818A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY029027693A	no_file	NA	NA	NA	NA	NA	no_file
20230215NY055028231A	no_file	NA	NA	NA	NA	NA	no_file
20230420NY071026328A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY055021610A	no_file	NA	NA	NA	NA	NA	no_file
20230425NY031022187A	no_file	NA	NA	NA	NA	NA	no_file
20230427NY101023906A	no_file	NA	NA	NA	NA	NA	no_file
20230309NY029028410A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY051024384A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY083087971A	no_file	NA	NA	NA	NA	NA	no_file
20230427NY029026395C	no_file	NA	NA	NA	NA	NA	no_file
20230309NY037026514A	no_file	NA	NA	NA	NA	NA	no_file
20230223NY099033308A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY013027961A	no_file	NA	NA	NA	NA	NA	no_file
20230416NY119026786A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY017021423A	no_file	NA	NA	NA	NA	NA	no_file
20230223NY055021610A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY089020818A	no_file	NA	NA	NA	NA	NA	no_file
20230221NY109020958A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY071027901A	no_file	NA	NA	NA	NA	NA	no_file
20230309NY109026638A	no_file	NA	NA	NA	NA	NA	no_file
20230227NY089020117A	no_file	NA	NA	NA	NA	NA	no_file
20230206NY059026859A	no_file	NA	NA	NA	NA	NA	no_file
20230307NY071031518A	no_file	NA	NA	NA	NA	NA	no_file
20230213NY055028231A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY029025950B	no_file	NA	NA	NA	NA	NA	no_file
20230220NY067027723A	no_file	NA	NA	NA	NA	NA	no_file
20230411NY121021504A	no_file	NA	NA	NA	NA	NA	no_file
20230329NY107029262A	no_file	NA	NA	NA	NA	NA	no_file
20230411NY101021431A	no_file	NA	NA	NA	NA	NA	no_file
20230209NY035026042A	no_file	NA	NA	NA	NA	NA	no_file
20230420NY029022136A	no_file	NA	NA	NA	NA	NA	no_file
20230207NY103206644A	no_file	NA	NA	NA	NA	NA	no_file
20230313NY089020117A	no_file	NA	NA	NA	NA	NA	no_file
20230417NY059026999A	no_file	NA	NA	NA	NA	NA	no_file
20230214NY117029475A	no_file	NA	NA	NA	NA	NA	no_file
20230312NY119026697A	no_file	NA	NA	NA	NA	NA	no_file
20230410NY001026875A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY063026336A	no_file	NA	NA	NA	NA	NA	no_file
20230207NY087022748A	no_file	NA	NA	NA	NA	NA	no_file
20230214NY053021539A	no_file	NA	NA	NA	NA	NA	no_file
20230316NY093020516A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY059026778A	no_file	NA	NA	NA	NA	NA	no_file
20230423NY119026689A	no_file	NA	NA	NA	NA	NA	no_file
20230223NY023027561A	no_file	NA	NA	NA	NA	NA	no_file
20230416NY067030571A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY101021431A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY107029262A	no_file	NA	NA	NA	NA	NA	no_file
20230110NY013027570A	no_file	NA	NA	NA	NA	NA	no_file
20230110NY029028410A	no_file	NA	NA	NA	NA	NA	no_file
20230105NY007024414C	no_file	NA	NA	NA	NA	NA	no_file
20230420NY101021431A	no_file	NA	NA	NA	NA	NA	no_file
20230223NY059026778A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230313NY035026042A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY071027901A	no_file	NA	NA	NA	NA	NA	no_file
20230315NY025029271A	no_file	NA	NA	NA	NA	NA	no_file
20230411NY013027570A	no_file	NA	NA	NA	NA	NA	no_file
20230411NY109026638A	no_file	NA	NA	NA	NA	NA	no_file
20230308NY119026701A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY101023906A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY071024422A	no_file	NA	NA	NA	NA	NA	no_file
20221228NY087270598A	no_file	NA	NA	NA	NA	NA	no_file
20230215NY107029262A	no_file	NA	NA	NA	NA	NA	no_file
20230323NY103079324A	no_file	NA	NA	NA	NA	NA	no_file
20230412NY103020061A	no_file	NA	NA	NA	NA	NA	no_file
20230427NY077031151A	no_file	NA	NA	NA	NA	NA	no_file
20230202NY037026514A	no_file	NA	NA	NA	NA	NA	no_file
20230328NY021022039A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY075026301A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY059026778A	no_file	NA	NA	NA	NA	NA	no_file
