callout_group,lineage
XBB.1.9,JJ.1
XBB.1.5,JK.1
BA.2,JL.1
XBB.1.16,JM.1
XBB.1.16,JM.2
JN.1,JN.1
JN.1,JN.1.1
JN.1,JN.1.1.1
JN.1,JN.1.1.2
JN.1,JN.1.1.3
JN.1,JN.1.1.4
JN.1,JN.1.1.5
JN.1,JN.1.1.6
JN.1,JN.1.1.7
JN.1,JN.1.10
JN.1,JN.1.11
JN.1,JN.1.11.1
JN.1,JN.1.12
JN.1.13,JN.1.13
JN.1.13,JN.1.13.1
JN.1,JN.1.14
JN.1,JN.1.15
JN.1,JN.1.16
JN.1,JN.1.16.1
JN.1,JN.1.17
JN.1,JN.1.18
JN.1,JN.1.18.1
JN.1,JN.1.18.2
JN.1,JN.1.19
JN.1,JN.1.2
JN.1,JN.1.2.1
JN.1,JN.1.20
JN.1,JN.1.21
JN.1,JN.1.22
JN.1,JN.1.23
JN.1,JN.1.24
JN.1,JN.1.25
JN.1,JN.1.25.1
JN.1,JN.1.26
JN.1,JN.1.27
JN.1,JN.1.28
JN.1,JN.1.28.1
JN.1,JN.1.29
JN.1,JN.1.3
JN.1,JN.1.30
JN.1,JN.1.30.1
JN.1,JN.1.31
JN.1,JN.1.32
JN.1,JN.1.33
JN.1,JN.1.34
JN.1,JN.1.35
JN.1,JN.1.36
JN.1,JN.1.36.1
JN.1,JN.1.37
JN.1,JN.1.38
JN.1,JN.1.39
JN.1,JN.1.4
JN.1,JN.1.4.1
JN.1,JN.1.4.2
JN.1,JN.1.4.3
JN.1,JN.1.4.4
JN.1,JN.1.4.5
JN.1,JN.1.4.6
JN.1,JN.1.4.7
JN.1,JN.1.40
JN.1,JN.1.41
JN.1,JN.1.42
JN.1,JN.1.42.1
JN.1,JN.1.43
JN.1,JN.1.43.1
JN.1,JN.1.44
JN.1,JN.1.45
JN.1,JN.1.46
JN.1,JN.1.5
JN.1,JN.1.6
JN.1,JN.1.6.1
JN.1,JN.1.7
JN.1,JN.1.7.1
JN.1,JN.1.7.2
JN.1,JN.1.7.3
JN.1,JN.1.8
JN.1,JN.1.8.1
JN.1,JN.1.8.2
JN.1,JN.1.8.3
JN.1,JN.1.9
JN.1,JN.1.9.1
BA.2,JN.10
BA.2,JN.11
