sample_id,variant,variant_pct
20221228NY119026689A,XBB.1.5.20,0.21842835
20221228NY119026689A,XBB.1.5,0.12410035
20221228NY119026689A,BQ.1.1,0.09798332
20221228NY119026689A,Unidentified,0.05482934000000006
20221228NY119026689A,BN.1.4.5,0.0424837
20221228NY119026689A,XBB.1.5.16,0.0393604
20221228NY119026689A,XBB.1.5.6,0.0381471
20221228NY119026689A,XBB.1.5.13,0.03457735
20221228NY119026689A,BQ.1.1.68,0.0345286
20221228NY119026689A,XAS,0.02369892
20221228NY119026689A,XBB.1.5.19,0.0223577
20221228NY119026689A,XBB.1.5.24,0.01218448
20221228NY119026689A,BQ.1.1.4,0.01143471
20221228NY119026689A,XBB.1.5.8,0.00835969
20221228NY119026689A,XBB.1.5.73,0.00810145
20221228NY119026689A,XBB.1.5.17,0.00748453
20221228NY119026689A,XBB.1.5.5,0.00719424
20221228NY119026689A,BQ.1.1.50,0.00652316
20221228NY119026689A,XBB.1.5.78,0.00603622
20221228NY119026689A,BQ.1.1.40,0.00547945
20221228NY119026689A,BQ.1.1.51,0.00535862
20221228NY119026689A,XBB.1.5.80,0.005
20221228NY119026689A,BQ.1.27,0.00483174
20221228NY119026689A,BQ.1.1.37,0.00481696
20221228NY119026689A,BQ.1.1.3,0.0047619
20221228NY119026689A,BA.2.11,0.00442111
20221228NY119026689A,BQ.1.13,0.00395452
20221228NY119026689A,XBB.1.5.61,0.00378072
20221228NY119026689A,XBB.1.5.15,0.0037486
20221228NY119026689A,XBB.1.30,0.00364964
20221228NY119026689A,BQ.1.1.10,0.00358774
20221228NY119026689A,BQ.1.1.62,0.00352113
20221228NY119026689A,CQ.1,0.00345066
20221228NY119026689A,XBB.1.5.2,0.003367
20221228NY119026689A,XBB.1.13,0.00335599
20221228NY119026689A,XBB.1.5.37,0.00332226
20221228NY119026689A,FD.4,0.00297974
20221228NY119026689A,BQ.1.1.53,0.00290141
20221228NY119026689A,FT.1,0.00286533
20221228NY119026689A,BQ.1.10.3,0.00273973
20221228NY119026689A,XBB.1.5.76,0.00269939
20221228NY119026689A,CH.1.1.24,0.00269542
20221228NY119026689A,BQ.1.9,0.00259235
20221228NY119026689A,FM.1,0.0025659
20221228NY119026689A,DJ.1.3,0.0025641
20221228NY119026689A,EF.1.2,0.00245834
20221228NY119026689A,DK.1,0.002457
20221228NY119026689A,BR.3,0.00241955
20221228NY119026689A,DZ.1,0.00237812
20221228NY119026689A,BM.2.1,0.00233737
20221228NY119026689A,DY.3,0.00231672
20221228NY119026689A,BE.12,0.00230548
20221228NY119026689A,BQ.1.1.17,0.00225989
20221228NY119026689A,XBB.1.5.23,0.00219941
20221228NY119026689A,BQ.1.1.15,0.00215285
20221228NY119026689A,XBB.1.5.34,0.00214133
20221228NY119026689A,XBB.1.5.59,0.0020274
20221228NY119026689A,BQ.1.1.43,0.00200763
20221228NY119026689A,BQ.1.1.69,0.00190476
20221228NY119026689A,FB.2,0.00187793
20221228NY119026689A,XBB.1.34.1,0.00187373
20221228NY119026689A,BQ.1.1.54,0.0018445
20221228NY119026689A,EE.1,0.00183959
20221228NY119026689A,XBB.1.5.35,0.0017913200000000001
20221228NY119026689A,GA.3,0.00178389
20221228NY119026689A,BQ.1.1.32,0.00177936
20221228NY119026689A,XBB.1.5.32,0.00173611
20221228NY119026689A,BA.2.35,0.0017094
20221228NY119026689A,BW.1.1.1,0.00166767
20221228NY119026689A,XBB.1.5.46,0.00164609
20221228NY119026689A,BQ.1.1.73,0.0016247
20221228NY119026689A,XBB.1.37,0.0016129
20221228NY119026689A,BF.7.13.2,0.00160901
20221228NY119026689A,XBB.3.3,0.00158658
20221228NY119026689A,BQ.1.1.29,0.00158103
20221228NY119026689A,BQ.1.1.60,0.00153051
20221228NY119026689A,CZ.1,0.00152141
20221228NY119026689A,XBB.1.5.72,0.00150886
20221228NY119026689A,FD.3,0.0015083
20221228NY119026689A,BQ.1.1.48,0.00149254
20221228NY119026689A,FP.2.1,0.00148588
20221228NY119026689A,BQ.1.1.55,0.00148148
20221228NY119026689A,BQ.1.1.70,0.00147601
20221228NY119026689A,XBB.1.5.18,0.00145773
20221228NY119026689A,XBB.1.5.63,0.00144259
20221228NY119026689A,FB.1,0.00142045
20221228NY119026689A,XBB.7,0.00140449
20221228NY119026689A,BQ.1.1.30,0.00134771
20221228NY119026689A,XBL.2,0.00134585
20221228NY119026689A,BA.2.70,0.00132714
20221228NY119026689A,BA.4.1.8,0.00132582
20221228NY119026689A,XBB.1.5.1,0.00131666
20221228NY119026689A,BN.1.3.10,0.00129702
20221228NY119026689A,BF.7.17,0.00125156
20221228NY119026689A,BQ.1.1.44,0.00124634
20221228NY119026689A,BQ.1.1.52,0.00123713
20221228NY119026689A,XBL.1,0.0012040900000000001
20221228NY119026689A,DN.2,0.00119427
20221228NY119026689A,DC.1,0.00117925
20221228NY119026689A,XBB.1.21,0.00117028
20221228NY119026689A,BY.1.1,0.00116082
20221228NY119026689A,XBB.1.5.52,0.00114025
20221228NY119026689A,FR.1.2,0.00111982
20221228NY119026689A,BA.2.19,0.00110619
20221228NY119026689A,BA.4.4,0.00110579
20221228NY119026689A,BQ.1.30,0.00110011
20221228NY119026689A,BQ.1.8.2,0.00109193
20221228NY119026689A,XBB.1.5.26,0.00108932
20221228NY119026689A,XBB.1.5.69,0.00106157
20221228NY119026689A,XBB.1.5.51,0.00103362
20221228NY119026689A,XBB.1.5.31,0.00102669
20221228NY119026689A,BQ.1.1.63,0.00102564
20221228NY119026689A,XBB.1.5.44,0.0010102
20230101NY119108324A,BQ.1.1,0.63259982
20230101NY119108324A,XBB.1.5.20,0.1008155
20230101NY119108324A,Unidentified,0.07274376999999999
20230101NY119108324A,XBB.1.5.33,0.0191556
20230101NY119108324A,EE.3,0.00813008
20230101NY119108324A,BQ.1.1.15,0.00662739
20230101NY119108324A,XBB.1.5.31,0.00655738
20230101NY119108324A,BQ.1.1.17,0.0056962
20230101NY119108324A,FG.2,0.00504202
20230101NY119108324A,BQ.1.1.50,0.00493827
20230101NY119108324A,BQ.1.1.42,0.00453233
20230101NY119108324A,BQ.1.1.3,0.00429768
20230101NY119108324A,XBB.1.5.80,0.004111
20230101NY119108324A,XBB.1.5.76,0.00353714
20230101NY119108324A,BA.2.20,0.003361
20230101NY119108324A,XBB.1.5.16,0.00331918
20230101NY119108324A,XBB.1.5.78,0.00323834
20230101NY119108324A,BQ.1.3,0.00323459
20230101NY119108324A,BQ.1.1.73,0.00305877
20230101NY119108324A,BQ.1.1.2,0.00275699
20230101NY119108324A,BQ.1.1.10,0.00264784
20230101NY119108324A,XBB.1.5.77,0.00262467
20230101NY119108324A,BA.2.70,0.00255568
20230101NY119108324A,XBB.1.37,0.00252313
20230101NY119108324A,CQ.1,0.0024989
20230101NY119108324A,BQ.1.1.4,0.00248205
20230101NY119108324A,XQ,0.00245942
20230101NY119108324A,BQ.1.1.25,0.00245686
20230101NY119108324A,EB.1,0.00242718
20230101NY119108324A,XBB.1.5.35,0.00239378
20230101NY119108324A,XBB.1.5.6,0.00235502
20230101NY119108324A,BQ.1.1.62,0.00233771
20230101NY119108324A,XBB.1.5.1,0.00232775
20230101NY119108324A,EN.1,0.00231303
20230101NY119108324A,XBB.1.13,0.00194521
20230101NY119108324A,BA.5.1.33,0.00193626
20230101NY119108324A,BF.7.5,0.00185214
20230101NY119108324A,BQ.1.1.63,0.00182072
20230101NY119108324A,XAJ,0.0017709
20230101NY119108324A,CH.1.1.15,0.00175131
20230101NY119108324A,XBB.1.18,0.00171821
20230101NY119108324A,BQ.1.1.37,0.00165289
20230101NY119108324A,CP.1.3,0.00158976
20230101NY119108324A,XBB.1.5.49,0.00158898
20230101NY119108324A,XBB.1.5.36,0.0015748
20230101NY119108324A,XBB.1.5.19,0.00152091
20230101NY119108324A,XBB.1.5.27,0.00148295
20230101NY119108324A,DE.1,0.00145879
20230101NY119108324A,BQ.1.1.68,0.00140515
20230101NY119108324A,BF.11.4,0.00138214
20230101NY119108324A,EK.2,0.00136612
20230101NY119108324A,XBB.1.36,0.0013624
20230101NY119108324A,BQ.1.1.35,0.00135062
20230101NY119108324A,CZ.1,0.00129758
20230101NY119108324A,BA.5.12,0.00129227
20230101NY119108324A,BQ.1.1.30,0.00127253
20230101NY119108324A,BQ.1.1.24,0.00125523
20230101NY119108324A,XBB.3.1,0.00124671
20230101NY119108324A,XBB.1.5.42,0.00122399
20230101NY119108324A,XBB.1.5.39,0.00121888
20230101NY119108324A,BQ.1.1.13,0.00120627
20230101NY119108324A,XBB.1.34.1,0.00119617
20230101NY119108324A,XBB.1.5.11,0.00117178
20230101NY119108324A,XBG,0.00116881
20230101NY119108324A,XAD,0.00116804
20230101NY119108324A,BA.2.82,0.00116279
20230101NY119108324A,BQ.1.1.18,0.00116117
20230101NY119108324A,BN.1.9,0.00115875
20230101NY119108324A,XBB.1.23,0.00115607
20230101NY119108324A,XBB.1.5.61,0.00114679
20230101NY119108324A,BQ.1.1.61,0.00110865
20230101NY119108324A,FT.1,0.00110011
20230101NY119108324A,BQ.1.3.1,0.0010861
20230101NY119108324A,BQ.1.1.32,0.00107817
20230101NY119108324A,BQ.1.10.1,0.00107009
20230101NY119108324A,XBB.1.5.5,0.00106667
20230101NY119108324A,BA.2.9.7,0.00106383
20230101NY119108324A,BQ.1.1.26,0.00104849
20230101NY119108324A,BQ.1.1.41,0.00104624
20230101NY119108324A,XBU,0.00103973
20230101NY119108324A,BQ.1.1.20,0.00103734
20230101NY119108324A,XBB.1.17,0.00102842
20230101NY119108324A,CH.1.1.24,0.00101394
20230101NY119108324A,FP.2.1,0.00100908
20230101NY119108324A,BQ.1.1.53,0.00100745
20230101NY119108324A,BQ.1.1.6,0.00100553
20230102NY059026859A,XBB.1.5,0.25221469
20230102NY059026859A,XBB.1.5.20,0.23494071
20230102NY059026859A,Unidentified,0.06981791999999998
20230102NY059026859A,BQ.1.27,0.06074401
20230102NY059026859A,XBB.1.5.15,0.03368725
20230102NY059026859A,XBB.1.5.66,0.01720895
20230102NY059026859A,BE.1,0.01698306
20230102NY059026859A,XBB.1.5.13,0.01667001
20230102NY059026859A,XBB.1.5.17,0.0122961
20230102NY059026859A,XBB.1.15,0.01089148
20230102NY059026859A,XBB.1.5.73,0.01004257
20230102NY059026859A,BQ.1.1.37,0.00990635
20230102NY059026859A,XBB.1.5.36,0.009375
20230102NY059026859A,XBB.1.5.5,0.00925926
20230102NY059026859A,XBB.1.5.19,0.00908678
20230102NY059026859A,XBB.1.5.2,0.00598802
20230102NY059026859A,XBB.1.5.61,0.00566449
20230102NY059026859A,XBB.1.5.62,0.00537634
20230102NY059026859A,CB.1,0.00482406
20230102NY059026859A,EE.5,0.00466563
20230102NY059026859A,XBB.1.5.7,0.00456621
20230102NY059026859A,XBB.1.18,0.00438091
20230102NY059026859A,BQ.1.1.10,0.00417619
20230102NY059026859A,BQ.1.1.50,0.00414625
20230102NY059026859A,XBB.1.5.39,0.0040739
20230102NY059026859A,XBB.1.5.33,0.00394981
20230102NY059026859A,BQ.1.28,0.00390851
20230102NY059026859A,BQ.1.1.6,0.00379673
20230102NY059026859A,XBB.1.5.76,0.00377164
20230102NY059026859A,XBB.1.5.78,0.00375548
20230102NY059026859A,XAD,0.00355271
20230102NY059026859A,BQ.1.1.15,0.00346878
20230102NY059026859A,EE.1,0.00340532
20230102NY059026859A,BQ.1.1.35,0.00339415
20230102NY059026859A,XBB.1.5.80,0.00337268
20230102NY059026859A,FD.4,0.00314663
20230102NY059026859A,XBB.1.5.37,0.00314465
20230102NY059026859A,XBB.1.5.55,0.00312305
20230102NY059026859A,CW.1,0.00296378
20230102NY059026859A,BE.1.4.3,0.00279192
20230102NY059026859A,XBB.1.38,0.00277451
20230102NY059026859A,XBB.1.5.35,0.00277316
20230102NY059026859A,BQ.1.1.68,0.00273038
20230102NY059026859A,BQ.1.10.3,0.00268227
20230102NY059026859A,FT.1,0.00265604
20230102NY059026859A,XBB.1.5.18,0.00250836
20230102NY059026859A,XBB.1.5.9,0.00245098
20230102NY059026859A,EB.1,0.00235597
20230102NY059026859A,XBB.1.5.38,0.00230348
20230102NY059026859A,BQ.1.1.51,0.00229475
20230102NY059026859A,ED.3,0.00228311
20230102NY059026859A,XBB.8.1,0.00222552
20230102NY059026859A,FB.2,0.0021846
20230102NY059026859A,BQ.1.1.18,0.00208427
20230102NY059026859A,EE.2,0.00198216
20230102NY059026859A,EK.3,0.00197824
20230102NY059026859A,XBB.1.43,0.00190404
20230102NY059026859A,BE.12,0.00188088
20230102NY059026859A,XBB.1.5.51,0.00187649
20230102NY059026859A,BQ.1.1.9,0.00183908
20230102NY059026859A,BQ.1.1.62,0.0018162
20230102NY059026859A,XBB.1.5.46,0.0017116
20230102NY059026859A,CZ.1,0.0017094
20230102NY059026859A,DN.3.1,0.00168916
20230102NY059026859A,BE.4.2,0.00168634
20230102NY059026859A,XBT,0.00167224
20230102NY059026859A,XBB.1.5.16,0.00165289
20230102NY059026859A,BA.5.1.7,0.0015625
20230102NY059026859A,BQ.1.9,0.00152788
20230102NY059026859A,BQ.1.1.46,0.00152672
20230102NY059026859A,BA.5.5.3,0.00151057
20230102NY059026859A,XBB.1.37.1,0.00150602
20230102NY059026859A,BN.1.4.5,0.00149087
20230102NY059026859A,FL.2.1,0.0014838
20230102NY059026859A,XBB.1.12,0.00148368
20230102NY059026859A,BQ.1.3.1,0.00147438
20230102NY059026859A,BA.2.75.8,0.0014733
20230102NY059026859A,BQ.1.13,0.00146394
20230102NY059026859A,CZ.2,0.00144921
20230102NY059026859A,FD.1,0.00144613
20230102NY059026859A,EA.1,0.00141978
20230102NY059026859A,BQ.1.1.70,0.00141736
20230102NY059026859A,BE.2,0.00139762
20230102NY059026859A,BU.1,0.00139689
20230102NY059026859A,DN.2,0.0013908
20230102NY059026859A,BA.2.53,0.0013624
20230102NY059026859A,BQ.1.1.60,0.00135853
20230102NY059026859A,XZ,0.00135644
20230102NY059026859A,EF.1.2,0.0013369
20230102NY059026859A,BQ.1.30,0.00132275
20230102NY059026859A,BQ.1.1.59,0.00132217
20230102NY059026859A,FH.1,0.0013104
20230102NY059026859A,XBB.1.5.50,0.00130776
20230102NY059026859A,XBB.1.7,0.00130762
20230102NY059026859A,XBB.1.27,0.00130208
20230102NY059026859A,CY.2,0.00130201
20230102NY059026859A,BF.7.4.1,0.00127926
20230102NY059026859A,XBG,0.00124792
20230102NY059026859A,EV.1,0.00123609
20230102NY059026859A,XR,0.00122619
20230102NY059026859A,XBL.1,0.0012242
20230102NY059026859A,CQ.1,0.0012064
20230102NY059026859A,BM.6,0.00120337
20230102NY059026859A,XBB.3.1,0.00119036
20230102NY059026859A,XBB.1.5.8,0.00118554
20230102NY059026859A,XBB.1.5.69,0.00118413
20230102NY059026859A,BF.11.2,0.00117994
20230102NY059026859A,BQ.1.1.7,0.00117665
20230102NY059026859A,XBB.1.5.26,0.00116641
20230102NY059026859A,BQ.1.2.1,0.00116182
20230102NY059026859A,XBB.1.5.47,0.00115607
20230102NY059026859A,XBB.1.5.64,0.00114242
20230102NY059026859A,BF.13,0.0011243
20230102NY059026859A,BQ.1.1.38,0.00111018
20230102NY059026859A,XQ,0.00106476
20230102NY059026859A,CY.1,0.00105927
20230102NY059026859A,BA.5.6.1,0.00105282
20230102NY059026859A,BF.7.3,0.00105226
20230102NY059026859A,BQ.1.15.1,0.00105042
20230102NY059026859A,BQ.1.1.56,0.00104004
20230102NY059026859A,XCA,0.00103057
20230102NY119026697A,XBB.1.5.48,0.095723
20230102NY119026697A,XBB.1.28,0.07307771
20230102NY119026697A,XBB.1.5.20,0.06658325
20230102NY119026697A,XBB.1.5.77,0.06658325
20230102NY119026697A,XBB.1.5.17,0.05081833
20230102NY119026697A,Unidentified,0.04649663000000004
20230102NY119026697A,XBB.1.5.19,0.0422849
20230102NY119026697A,BQ.1.1.6,0.0341989
20230102NY119026697A,CQ.2,0.0275362
20230102NY119026697A,XBB.1.5.16,0.0215054
20230102NY119026697A,FG.3,0.0215054
20230102NY119026697A,XBB.1.5.73,0.01923669
20230102NY119026697A,BQ.1.2,0.01534158
20230102NY119026697A,XBB.1.5.8,0.014531
20230102NY119026697A,BQ.1.1.69,0.0115132
20230102NY119026697A,BQ.1.1.1,0.0104439
20230102NY119026697A,XBB.1.5.15,0.00996956
20230102NY119026697A,XBB.1.5.5,0.00951249
20230102NY119026697A,XBB.1.30,0.00899743
20230102NY119026697A,BQ.1.13,0.00895141
20230102NY119026697A,XBB.1.5.33,0.0088968
20230102NY119026697A,BQ.1.1.4,0.00889022
20230102NY119026697A,EE.4,0.00889022
20230102NY119026697A,XBB.1.5.26,0.00872093
20230102NY119026697A,BQ.1.1.5,0.00859496
20230102NY119026697A,XBB.1.5,0.00841901
20230102NY119026697A,XBB.1.5.67,0.00841901
20230102NY119026697A,XBB.1.5.52,0.00841901
20230102NY119026697A,XBB.1.5.28,0.00841901
20230102NY119026697A,XBB.1.5.40,0.00841901
20230102NY119026697A,XBB.1.5.11,0.00814664
20230102NY119026697A,EE.3,0.00763359
20230102NY119026697A,XBB.1.5.12,0.00757576
20230102NY119026697A,CW.1,0.00654127
20230102NY119026697A,DN.1,0.00606632
20230102NY119026697A,DN.1.1.4,0.00606632
20230102NY119026697A,DN.1.1,0.00606632
20230102NY119026697A,ET.1,0.00576369
20230102NY119026697A,XBB.1.5.80,0.00573888
20230102NY119026697A,XBB.1.5.76,0.00526624
20230102NY119026697A,BQ.1.1.60,0.00454087
20230102NY119026697A,DC.1,0.00436071
20230102NY119026697A,BQ.1.1.56,0.00416089
20230102NY119026697A,BM.2.1,0.00411523
20230102NY119026697A,XBB.1.5.36,0.00410678
20230102NY119026697A,BQ.1.1.40,0.00408163
20230102NY119026697A,DN.1.1.2,0.00380228
20230102NY119026697A,XBB.1.5.57,0.0037961
20230102NY119026697A,XBB.1.5.78,0.00364964
20230102NY119026697A,BQ.1.1.50,0.00344234
20230102NY119026697A,XBB.1.5.6,0.00338328
20230102NY119026697A,BQ.1.1.48,0.00335008
20230102NY119026697A,BA.4.8,0.00334955
20230102NY119026697A,XBB.1.5.62,0.00325733
20230102NY119026697A,EN.1,0.00325556
20230102NY119026697A,BA.4.6.2,0.00321207
20230102NY119026697A,XBU,0.00313971
20230102NY119026697A,BQ.1.1.62,0.00296516
20230102NY119026697A,FT.1,0.00295683
20230102NY119026697A,BQ.1.15.2,0.0029347
20230102NY119026697A,BR.3,0.00284495
20230102NY119026697A,XBB.1.5.27,0.00282486
20230102NY119026697A,XBB.1.5.31,0.0027933
20230102NY119026697A,FD.2,0.00274234
20230102NY119026697A,BQ.1.1.46,0.00263852
20230102NY119026697A,XBB.1.5.66,0.00261027
20230102NY119026697A,XBB.1.5.49,0.00243902
20230102NY119026697A,XBB.1.5.13,0.0024373900000000002
20230102NY119026697A,GA.3,0.00242131
20230102NY119026697A,BA.2.11,0.00241935
20230102NY119026697A,EK.1,0.00236967
20230102NY119026697A,BQ.1.1.41,0.00234814
20230102NY119026697A,XBB.1.8,0.00234742
20230102NY119026697A,XBB.1.5.61,0.00229885
20230102NY119026697A,XBB.6.1,0.00224719
20230102NY119026697A,XBB.1.5.35,0.00221239
20230102NY119026697A,BQ.1.25,0.00214978
20230102NY119026697A,XBB.1.21,0.00214133
20230102NY119026697A,BQ.1.16,0.00212766
20230102NY119026697A,BQ.1.1.68,0.00210526
20230102NY119026697A,BA.2.8,0.00208333
20230102NY119026697A,XBB.1.5.75,0.00204638
20230102NY119026697A,XBB.1.5.43,0.00204499
20230102NY119026697A,XBB.1.4,0.00198005
20230102NY119026697A,XBB.1.15,0.00195397
20230102NY119026697A,GG.1,0.00194871
20230102NY119026697A,XBB.1.5.38,0.00194871
20230102NY119026697A,XBB.1.31,0.00194175
20230102NY119026697A,XAJ,0.00192926
20230102NY119026697A,BM.6,0.0018622
20230102NY119026697A,BA.4.4,0.00185185
20230102NY119026697A,BQ.1.1.23,0.00179533
20230102NY119026697A,BQ.1.1.59,0.00174216
20230102NY119026697A,EL.1,0.00172117
20230102NY119026697A,XBB.1.43.1,0.00171821
20230102NY119026697A,BQ.1.1.17,0.00170358
20230102NY119026697A,BQ.1.1.12,0.00166021
20230102NY119026697A,BQ.1.1.2,0.00164474
20230102NY119026697A,BF.7.19.1,0.00164204
20230102NY119026697A,XBB.1.5.4,0.00163895
20230102NY119026697A,BQ.1.1.14,0.00163683
20230102NY119026697A,BR.4,0.001606
20230102NY119026697A,XBB.1.4.1,0.0016
20230102NY119026697A,EK.4,0.00159553
20230102NY119026697A,BQ.1.8,0.00158604
20230102NY119026697A,BA.4.6.1,0.00153581
20230102NY119026697A,BA.4.6,0.00153581
20230102NY119026697A,BQ.1.1.10,0.00147784
20230102NY119026697A,FA.1,0.00147784
20230102NY119026697A,BQ.1.1.19,0.00147275
20230102NY119026697A,XBG,0.00146556
20230102NY119026697A,DE.2,0.00146413
20230102NY119026697A,XBB.1.5.69,0.00144092
20230102NY119026697A,XBT,0.00140919
20230102NY119026697A,XBB.1.13,0.00140471
20230102NY119026697A,BQ.1.10.3,0.00139081
20230102NY119026697A,XCB,0.00135501
20230102NY119026697A,XBB.1.18,0.00133667
20230102NY119026697A,BQ.1.25.1,0.00124927
20230102NY119026697A,XBB.1.5.23,0.00124069
20230102NY119026697A,XBB.1.36,0.00123381
20230102NY119026697A,DV.5,0.00116144
20230102NY119026697A,XBB.1.40,0.0011409
20230102NY119026697A,FE.1,0.00110037
20230102NY119026697A,BQ.1.1.70,0.00104566
20230102NY119026697A,BA.2.61,0.00102041
20230102NY119026697A,ER.1.1,0.00101523
20230102NY119026701A,BQ.1.23,0.07025904
20230102NY119026701A,EE.3,0.05952123
20230102NY119026701A,XBB.1.5.20,0.04925978
20230102NY119026701A,XBB.1.5.77,0.04925978
20230102NY119026701A,XBB.1.5.81,0.04925978
20230102NY119026701A,XBB.1.5.56,0.04925978
20230102NY119026701A,XBB.1.30,0.04
20230102NY119026701A,XBB.1.5.17,0.0307307
20230102NY119026701A,FG.3,0.02884615
20230102NY119026701A,XBB.1.5.16,0.02884615
20230102NY119026701A,FD.2,0.0268595
20230102NY119026701A,EK.3,0.0241313
20230102NY119026701A,BQ.1.22,0.0189189
20230102NY119026701A,BQ.1.1.44,0.01663264
20230102NY119026701A,XBB.1.5.78,0.015544
20230102NY119026701A,FW.1,0.01461819
20230102NY119026701A,XBB.1.28.1,0.01461819
20230102NY119026701A,FW.2,0.01461819
20230102NY119026701A,BQ.1.1.53,0.0142857
20230102NY119026701A,FM.2,0.0142857
20230102NY119026701A,XBB.1.5.37,0.0125
20230102NY119026701A,BQ.1.14,0.0117647
20230102NY119026701A,FH.1,0.0110345
20230102NY119026701A,BF.13,0.0110254
20230102NY119026701A,Unidentified,0.00975904999999999
20230102NY119026701A,XBB.1.15,0.00840336
20230102NY119026701A,XZ,0.00839161
20230102NY119026701A,BQ.1.1.48,0.00826446
20230102NY119026701A,BE.1,0.00824377
20230102NY119026701A,BA.2.75.5,0.0080984
20230102NY119026701A,BN.2,0.0080984
20230102NY119026701A,FT.1,0.00737463
20230102NY119026701A,XBB.1.18,0.00720721
20230102NY119026701A,XBB.1.5.61,0.00719424
20230102NY119026701A,BQ.1.1.34,0.00689655
20230102NY119026701A,DT.2,0.00657895
20230102NY119026701A,BQ.1.1.41,0.00645161
20230102NY119026701A,XBB.1.5.43,0.00625
20230102NY119026701A,XBB.1.5.33,0.0059453
20230102NY119026701A,XBB.1.5.24,0.00591716
20230102NY119026701A,XBB.1.5.49,0.00568182
20230102NY119026701A,XBB.1.7,0.00549451
20230102NY119026701A,XBB.2.8,0.00549451
20230102NY119026701A,XBB.1.5.36,0.00502513
20230102NY119026701A,BF.10.1,0.005
20230102NY119026701A,XBB.8,0.00496543
20230102NY119026701A,XBB.1.5.31,0.00475436
20230102NY119026701A,BA.5.1.33,0.00463679
20230102NY119026701A,XBB.1.37,0.00462963
20230102NY119026701A,BQ.1.2.3,0.00423283
20230102NY119026701A,BQ.1.2,0.00423283
20230102NY119026701A,BQ.1.12,0.00422535
20230102NY119026701A,XBB.1.28,0.00407344
20230102NY119026701A,BQ.1.1.18,0.0040225
20230102NY119026701A,BQ.1.1.9,0.0040225
